Date	Price	Open	High	Low	Vol	Change 	Nothing
2016/10/03	612	611	613	609	2195000	0.15	0
2016/10/02	611	613	614	608	1654000	-0.44	0
2016/10/01	613	608	615	607	1693000	0.87	0
2016/09/30	608	605	609	602	2395000	0.57	0
2016/09/29	605	605	607	602	2532000	0.00	0
2016/09/28	605	606	607	603	1894000	-0.13	0
2016/09/27	606	607	609	602	2555000	-0.18	0
2016/09/26	607	602	609	598	2751000	0.84	0
2016/09/25	602	603	605	598	1328000	-0.18	0
2016/09/24	603	603	606	601	1347000	-0.05	0
2016/09/23	603	596	604	594	2592000	1.22	0
2016/09/22	596	597	600	593	2244000	-0.26	0
2016/09/21	597	609	609	592	3686000	-1.98	0
2016/09/20	609	610	611	606	2261000	-0.10	0
2016/09/19	610	611	612	607	2124000	-0.14	0
2016/09/18	611	607	612	605	1633000	0.60	0
2016/09/17	607	608	610	605	1589000	-0.12	0
2016/09/16	608	608	610	605	2185000	-0.05	0
2016/09/15	608	610	611	605	2269000	-0.23	0
2016/09/14	610	609	612	606	2424000	0.15	0
2016/09/13	609	608	612	605	2752000	0.10	0
2016/09/12	608	606	611	603	2795000	0.39	0
2016/09/11	606	625	631	593	3654000	-3.03	0
2016/09/10	625	623	628	621	1528000	0.22	0
2016/09/09	623	626	628	617	2833000	-0.39	0
2016/09/08	626	613	629	611	3633000	2.02	0
2016/09/07	613	610	617	606	3003000	0.45	0
2016/09/06	610	606	612	604	2433000	0.77	0
2016/09/05	606	610	611	599	2529000	-0.62	0
2016/09/04	610	599	615	591	3069000	1.79	0
2016/09/03	599	575	605	573	3570000	4.09	0
2016/09/02	575	572	578	569	2661000	0.58	0
2016/09/01	572	574	705	569	2587000	-0.33	0
2016/08/31	574	577	578	572	2493000	-0.60	0
2016/08/30	577	574	580	573	2748000	0.54	0
2016/08/29	574	575	579	571	2386000	-0.13	0
2016/08/28	575	570	576	569	1283000	0.81	0
2016/08/27	570	579	580	567	1869000	-1.56	0
2016/08/26	579	578	583	576	2117000	0.24	0
2016/08/25	578	580	581	571	3273000	-0.29	0
2016/08/24	580	584	585	577	2806000	-0.67	0
2016/08/23	584	588	590	579	3208000	-0.67	0
2016/08/22	588	581	592	577	3356000	1.17	0
2016/08/21	581	583	585	578	1416000	-0.33	0
2016/08/20	583	575	584	572	2312000	1.40	0
2016/08/19	575	573	578	566	2553000	0.20	0
2016/08/18	573	572	580	571	3039000	0.18	0
2016/08/17	572	580	581	569	3276000	-1.35	0
2016/08/16	580	567	583	563	3769000	2.34	0
2016/08/15	567	569	575	559	3377000	-0.37	0
2016/08/14	569	585	586	560	3307000	-2.66	0
2016/08/13	585	587	590	583	1930000	-0.43	0
2016/08/12	587	588	591	582	2550000	-0.12	0
2016/08/11	588	591	599	585	3983000	-0.52	0
2016/08/10	591	585	601	581	4957000	0.97	0
2016/08/09	585	589	591	581	2597000	-0.68	0
2016/08/08	589	591	594	585	2488000	-0.27	0
2016/08/07	591	587	596	581	2620000	0.75	0
2016/08/06	587	575	597	565	2538000	2.05	0
2016/08/05	575	576	580	566	2789000	-0.27	0
2016/08/04	576	566	585	560	4482000	1.73	0
2016/08/03	566	513	573	514	8593000	10.32	0
2016/08/02	513	607	614	471	13091000	-15.42	0
2016/08/01	607	622	628	604	6666000	-2.39	0
2016/07/31	622	655	655	621	6289000	-5.02	0
2016/07/30	655	655	658	652	1935000	-0.11	0
2016/07/29	655	654	657	651	2704000	0.20	0
2016/07/28	654	655	658	651	2811000	-0.06	0
2016/07/27	655	654	659	646	2989000	0.02	0
2016/07/26	654	654	658	644	4939000	0.06	0
2016/07/25	654	659	663	651	3438000	-0.80	0
2016/07/24	659	655	664	651	2982000	0.63	0
2016/07/23	655	651	658	648	2989000	0.62	0
2016/07/22	651	665	669	646	6590000	-2.03	0
2016/07/21	665	664	667	658	3217000	0.03	0
2016/07/20	664	671	672	660	3756000	-1.00	0
2016/07/19	671	670	673	664	3040000	0.11	0
2016/07/18	670	676	680	665	4258000	-0.88	0
2016/07/17	676	661	681	660	4684000	2.37	0
